loc,total_come,total_exit,move,move_inloc,come_in_loc,exit_in_loc,come_out_loc,exit_out_loc
전국,"618,991","618,991",0,"229,186","179,503","179,503","210,302","210,302"
서울특별시,"112,547","121,776","-9,229","29,224","45,128","45,128","38,195","47,424"
부산광역시,"37,445","39,204","-1,759","10,513","17,020","17,020","9,912","11,671"
대구광역시,"29,433","31,620","-2,187","11,477","10,606","10,606","7,350","9,537"
인천광역시,"32,491","29,940","2,551","10,073","9,270","9,270","13,148","10,597"
광주광역시,"16,487","16,833",-346,"5,507","5,394","5,394","5,586","5,932"
대전광역시,"24,248","25,394","-1,146","7,394","9,004","9,004","7,850","8,996"
울산광역시,"11,132","11,958",-826,"3,913","3,887","3,887","3,332","4,158"
세종특별자치시,"10,325","7,989","2,336","4,702",0,0,"5,623","3,287"
경기도,"167,672","158,632","9,040","64,749","48,450","48,450","54,473","45,433"
강원도,"19,528","18,591",937,"8,925","2,956","2,956","7,647","6,710"
충청북도,"19,898","19,033",865,"9,293","2,925","2,925","7,680","6,815"
충청남도,"24,514","23,909",605,"9,528","3,812","3,812","11,174","10,569"
전라북도,"20,068","20,853",-785,"10,388","4,457","4,457","5,223","6,008"
전라남도,"22,059","21,991",68,"10,304","4,142","4,142","7,613","7,545"
경상북도,"29,318","28,654",664,"12,232","5,417","5,417","11,669","11,005"
경상남도,"33,317","34,227",-910,"16,364","6,173","6,173","10,780","11,690"
제주특별자치도,"8,509","8,387",122,"4,600",862,862,"3,047","2,925"
